Grid ID,Start,End,Height,Width,Neighbouring Grids,No. of Nodes,Nodes,Centroid,Avg. RE
61,(300 0),(350 50),50,50,51; 62; 71; ,5,206; 264; 279; 323; 351; ,(320 26),0.11282
62,(300 50),(350 100),50,50,52; 61; 63; 72; ,7,109; 219; 248; 363; 398; 470; 485; ,(319 69),0.143229
63,(300 100),(350 150),50,50,53; 62; 64; 73; ,5,51; 258; 277; 408; 493; ,(323 131),0.21194
64,(300 150),(350 200),50,50,54; 63; 65; 74; ,1,23; ,(313 185),0.5877
65,(300 200),(350 250),50,50,55; 64; 66; 75; ,5,19; 21; 92; 322; 442; ,(330 222),0.23844
66,(300 250),(350 300),50,50,56; 65; 67; 76; ,4,2; 203; 310; 428; ,(330 261),0.11435
67,(300 300),(350 350),50,50,57; 66; 68; 77; ,4,98; 189; 300; 459; ,(325 326),0.127675
68,(300 350),(350 400),50,50,58; 67; 69; 78; ,3,113; 368; 385; ,(318 356),0.139267
69,(300 400),(350 450),50,50,59; 68; 70; 79; ,8,67; 157; 162; 207; 282; 348; 422; 454; ,(322 414),0.245912
70,(300 450),(350 500),50,50,60; 69; 80; ,2,60; 159; ,(331 464),0.21415
71,(350 0),(400 50),50,50,61; 72; 81; ,6,91; 135; 161; 324; 447; 462; ,(379 16),0.348533
72,(350 50),(400 100),50,50,62; 71; 73; 82; ,6,13; 214; 224; 241; 255; 480; ,(372 70),0.202517
73,(350 100),(400 150),50,50,63; 72; 74; 83; ,5,147; 152; 221; 350; 429; ,(376 113),0.42048
74,(350 150),(400 200),50,50,64; 73; 75; 84; ,9,74; 89; 154; 176; 332; 345; 374; 419; 482; ,(368 174),0.198167
75,(350 200),(400 250),50,50,65; 74; 76; 85; ,1,81; ,(383 236),0.7188
76,(350 250),(400 300),50,50,66; 75; 77; 86; ,6,58; 59; 119; 220; 244; 354; ,(374 274),0.219233
77,(350 300),(400 350),50,50,67; 76; 78; 87; ,7,69; 75; 80; 247; 305; 382; 460; ,(381 326),0.283686
78,(350 350),(400 400),50,50,68; 77; 79; 88; ,3,127; 413; 445; ,(365 367),0.0819667
79,(350 400),(400 450),50,50,69; 78; 80; 89; ,3,106; 320; 392; ,(374 410),0.112633
80,(350 450),(400 500),50,50,70; 79; 90; ,4,76; 143; 204; 225; ,(378 473),0.476725
81,(400 0),(450 50),50,50,71; 82; 91; ,5,319; 346; 395; 402; 423; ,(420 33),0.1267
82,(400 50),(450 100),50,50,72; 81; 83; 92; ,4,62; 213; 434; 484; ,(430 66),0.2293
83,(400 100),(450 150),50,50,73; 82; 84; 93; ,6,208; 329; 334; 405; 481; 499; ,(418 122),0.199133
84,(400 150),(450 200),50,50,74; 83; 85; 94; ,8,27; 110; 192; 261; 314; 327; 411; 439; ,(428 179),0.180312
85,(400 200),(450 250),50,50,75; 84; 86; 95; ,6,112; 136; 243; 293; 301; 317; ,(429 236),0.237583
86,(400 250),(450 300),50,50,76; 85; 87; 96; ,4,18; 170; 286; 389; ,(413 276),0.152075
87,(400 300),(450 350),50,50,77; 86; 88; 97; ,5,44; 148; 190; 298; 367; ,(438 324),0.16138
88,(400 350),(450 400),50,50,78; 87; 89; 98; ,5,63; 68; 356; 369; 420; ,(422 374),0.17038
89,(400 400),(450 450),50,50,79; 88; 90; 99; ,8,31; 99; 114; 169; 303; 341; 490; 500; ,(428 430),0.28125
90,(400 450),(450 500),50,50,80; 89; 100; ,6,35; 66; 95; 149; 283; 380; ,(433 477),0.305283
91,(450 0),(500 50),50,50,81; 92; ,10,4; 8; 64; 132; 223; 273; 304; 361; 435; 476; ,(477 22),0.19089
92,(450 50),(500 100),50,50,82; 91; 93; ,5,315; 370; 375; 387; 486; ,(469 81),0.21722
93,(450 100),(500 150),50,50,83; 92; 94; ,4,123; 178; 184; 409; ,(465 129),0.1141
94,(450 150),(500 200),50,50,84; 93; 95; ,7,29; 56; 61; 133; 163; 278; 448; ,(478 166),0.1628
95,(450 200),(500 250),50,50,85; 94; 96; ,4,7; 105; 254; 461; ,(481 211),0.31265
96,(450 250),(500 300),50,50,86; 95; 97; ,11,48; 79; 211; 215; 246; 256; 287; 295; 309; 371; 393; ,(474 274),0.222291
97,(450 300),(500 350),50,50,87; 96; 98; ,2,210; 262; ,(495 338),0.42525
98,(450 350),(500 400),50,50,88; 97; 99; ,9,32; 71; 77; 103; 142; 240; 388; 425; 464; ,(475 371),0.141456
99,(450 400),(500 450),50,50,89; 98; 100; ,6,3; 26; 129; 144; 200; 326; ,(477 426),0.364783
100,(450 450),(500 500),50,50,90; 99; ,5,83; 87; 292; 414; 491; ,(476 480),0.2067

Threshold for merging = Average of the residual energies of all the grids = 0.232507
